Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 50  |  0.00  |  19.00  |  19.00  |  18.00  |  10.00  |  0.00  |  
 Sample index : 51  |  0.00  |  20.00  |  17.00  |  17.00  |  9.00  |  0.00  |  
 Sample index : 52  |  0.00  |  20.00  |  18.00  |  19.00  |  9.00  |  0.00  |  
 Sample index : 53  |  0.00  |  19.00  |  20.00  |  18.00  |  9.00  |  0.00  |  
 Sample index : 54  |  0.00  |  18.00  |  17.00  |  17.00  |  10.00  |  0.00  |  
 Sample index : 55  |  0.00  |  19.00  |  16.00  |  18.00  |  9.00  |  0.00  |  
 Sample index : 56  |  0.00  |  19.00  |  20.00  |  18.00  |  8.00  |  0.00  |  
 Sample index : 57  |  0.00  |  19.00  |  16.00  |  17.00  |  9.00  |  0.00  |  
 Sample index : 58  |  0.00  |  18.00  |  16.00  |  18.00  |  10.00  |  0.00  |  
 Sample index : 59  |  0.00  |  17.00  |  18.00  |  17.00  |  8.00  |  0.00  |  
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 0  |  45.00  |  67.00  |  61.00  |  60.00  |  20.00  |  0.00  |  
 Sample index : 1  |  48.00  |  68.00  |  63.00  |  60.00  |  23.00  |  0.00  |  
 Sample index : 2  |  50.00  |  66.00  |  63.00  |  60.00  |  20.00  |  0.00  |  
 Sample index : 3  |  47.00  |  67.00  |  64.00  |  59.00  |  20.00  |  0.00  |  
 Sample index : 4  |  47.00  |  68.00  |  65.00  |  57.00  |  22.00  |  0.00  |  
 Sample index : 5  |  48.00  |  65.00  |  62.00  |  59.00  |  20.00  |  0.00  |  
 Sample index : 6  |  49.00  |  63.00  |  60.00  |  58.00  |  19.00  |  0.00  |  
 Sample index : 7  |  46.00  |  65.00  |  61.00  |  58.00  |  21.00  |  0.00  |  
 Sample index : 8  |  48.00  |  61.00  |  59.00  |  56.00  |  20.00  |  0.00  |  
 Sample index : 9  |  46.00  |  60.00  |  59.00  |  56.00  |  19.00  |  0.00  |  
 Sample index : 10  |  47.00  |  60.00  |  61.00  |  59.00  |  19.00  |  0.00  |  
 Sample index : 11  |  46.00  |  57.00  |  63.00  |  57.00  |  18.00  |  0.00  |  
 Sample index : 12  |  46.00  |  58.00  |  58.00  |  54.00  |  18.00  |  0.00  |  
 Sample index : 13  |  47.00  |  60.00  |  57.00  |  55.00  |  20.00  |  0.00  |  
 Sample index : 14  |  48.00  |  59.00  |  61.00  |  57.00  |  17.00  |  0.00  |  
 Sample index : 15  |  49.00  |  60.00  |  53.00  |  55.00  |  16.00  |  0.00  |  
 Sample index : 16  |  47.00  |  58.00  |  51.00  |  54.00  |  20.00  |  0.00  |  
 Sample index : 17  |  48.00  |  57.00  |  62.00  |  55.00  |  19.00  |  0.00  |  
 Sample index : 18  |  47.00  |  59.00  |  55.00  |  56.00  |  17.00  |  0.00  |  
 Sample index : 19  |  46.00  |  57.00  |  55.00  |  54.00  |  19.00  |  0.00  |  
 Sample index : 20  |  46.00  |  52.00  |  61.00  |  53.00  |  20.00  |  0.00  |  
 Sample index : 21  |  44.00  |  55.00  |  53.00  |  54.00  |  17.00  |  0.00  |  
 Sample index : 22  |  45.00  |  58.00  |  54.00  |  52.00  |  18.00  |  0.00  |  
 Sample index : 23  |  43.00  |  56.00  |  56.00  |  53.00  |  20.00  |  0.00  |  
