 
189.00,21.00
210.00,161.00
206.00,64.00
187.00,146.00
266.00,177.00
217.00,137.00
220.00,154.00
236.00,185.00
153.00,140.00
161.00,147.00
159.00,137.00
179.00,64.00
162.00,93.00
118.00,43.00
98.00,20.00
76.00,61.00
78.00,59.00
73.00,80.00
0.00,50.00
44.00,43.00
867.00,59.00
995.00,88.00
551.00,90.00
655.00,80.00
548.00,66.00
365.00,67.00
571.00,66.00
 
162.00,0.00
0.00,23.00
0.00,100.00
141.00,199.00
280.00,196.00
431.00,117.00
429.00,142.00
404.00,159.00
194.00,180.00
239.00,177.00
391.00,192.00
299.00,235.00
322.00,258.00
246.00,224.00
309.00,227.00
311.00,201.00
371.00,208.00
359.00,235.00
410.00,275.00
444.00,226.00
449.00,255.00
444.00,190.00
583.00,187.00
565.00,194.00
626.00,157.00
664.00,138.00
681.00,138.00
700.00,114.00
608.00,122.00
591.00,96.00
542.00,100.00
703.00,86.00
790.00,79.00
700.00,75.00
724.00,61.00
702.00,60.00
584.00,48.00
450.00,38.00
339.00,27.00
209.00,19.00
142.00,0.00
92.00,0.00
59.00,49.00
38.00,19.00
17.00,70.00
0.00,50.00
0.00,80.00
0.00,52.00
