Sample index : 0  , SEN.0  ,  SEN.01  ,  SEN.02  ,  SEN.03  ,  SEN.04  ,  SEN.05 
Sample index : 26  ,  0.00  ,  14.00  ,  34.00  ,  0.00  ,  3.00  ,  0.00  
Sample index : 27  ,  0.00  ,  12.00  ,  34.00  ,  0.00  ,  2.00  ,  0.00  
Sample index : 28  ,  0.00  ,  12.00  ,  35.00  ,  0.00  ,  1.00  ,  0.00  
Sample index : 29  ,  0.00  ,  11.00  ,  34.00  ,  0.00  ,  0.00  ,  0.00  
Sample index : 30  ,  0.00  ,  11.00  ,  32.00  ,  0.00  ,  0.00  ,  0.00  
Sample index : 31  ,  0.00  ,  9.00  ,  29.00  ,  2.00  ,  0.00  ,  0.00  
Sample index : 32  ,  0.00  ,  10.00  ,  28.00  ,  3.00  ,  0.00  ,  0.00  
Sample index : 33  ,  0.00  ,  11.00  ,  26.00  ,  2.00  ,  1.00  ,  0.00  
Sample index : 34  ,  0.00  ,  11.00  ,  26.00  ,  2.00  ,  3.00  ,  0.00  
Sample index : 35  ,  0.00  ,  11.00  ,  27.00  ,  4.00  ,  5.00  ,  0.00  
Sample index : 36  ,  0.00  ,  11.00  ,  28.00  ,  5.00  ,  6.00  ,  0.00  
Sample index : 37  ,  0.00  ,  13.00  ,  29.00  ,  4.00  ,  7.00  ,  0.00  
Sample index : 38  ,  0.00  ,  12.00  ,  30.00  ,  3.00  ,  8.00  ,  0.00  
Sample index : 39  ,  0.00  ,  12.00  ,  31.00  ,  2.00  ,  9.00  ,  0.00  
Sample index : 40  ,  0.00  ,  10.00  ,  31.00  ,  3.00  ,  9.00  ,  0.00  
Sample index : 41  ,  0.00  ,  11.00  ,  33.00  ,  3.00  ,  9.00  ,  0.00  
Sample index : 42  ,  0.00  ,  11.00  ,  33.00  ,  2.00  ,  9.00  ,  0.00  
Sample index : 43  ,  0.00  ,  10.00  ,  31.00  ,  1.00  ,  9.00  ,  0.00  
Sample index : 44  ,  0.00  ,  10.00  ,  31.00  ,  1.00  ,  10.00  ,  0.00  
Sample index : 45  ,  0.00  ,  10.00  ,  29.00  ,  1.00  ,  10.00  ,  0.00  
Sample index : 46  ,  0.00  ,  10.00  ,  28.00  ,  3.00  ,  9.00  ,  0.00  
