
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 24  |  83.00  |  71.00  |  70.00  |  54.00  |  63.00  |  0.00  |  
 Sample index : 25  |  86.00  |  70.00  |  68.00  |  53.00  |  61.00  |  0.00  |  
 Sample index : 26  |  83.00  |  72.00  |  64.00  |  54.00  |  62.00  |  0.00  |  
 Sample index : 27  |  85.00  |  72.00  |  66.00  |  54.00  |  63.00  |  0.00  |  
 Sample index : 28  |  85.00  |  69.00  |  67.00  |  53.00  |  60.00  |  0.00  |  
 Sample index : 29  |  86.00  |  68.00  |  68.00  |  51.00  |  59.00  |  0.00  |  
 Sample index : 30  |  85.00  |  67.00  |  64.00  |  52.00  |  62.00  |  0.00  |  
 Sample index : 31  |  83.00  |  69.00  |  65.00  |  53.00  |  61.00  |  0.00  |  
 Sample index : 32  |  82.00  |  70.00  |  65.00  |  52.00  |  58.00  |  0.00  |  
 Sample index : 33  |  82.00  |  68.00  |  61.00  |  53.00  |  58.00  |  0.00  |  
 Sample index : 34  |  81.00  |  65.00  |  62.00  |  51.00  |  58.00  |  0.00  |  
 Sample index : 35  |  81.00  |  68.00  |  63.00  |  50.00  |  58.00  |  0.00  |  
 Sample index : 36  |  80.00  |  67.00  |  62.00  |  51.00  |  58.00  |  0.00  |  
 Sample index : 37  |  83.00  |  64.00  |  65.00  |  50.00  |  57.00  |  0.00  |  
 Sample index : 38  |  81.00  |  63.00  |  65.00  |  49.00  |  57.00  |  0.00  |  
 Sample index : 39  |  79.00  |  64.00  |  64.00  |  49.00  |  58.00  |  0.00  |  
 Sample index : 40  |  81.00  |  63.00  |  63.00  |  49.00  |  57.00  |  0.00  |  
 Sample index : 41  |  78.00  |  66.00  |  64.00  |  50.00  |  56.00  |  0.00  |  
 Sample index : 42  |  79.00  |  66.00  |  65.00  |  49.00  |  58.00  |  0.00  |  
 Sample index : 43  |  81.00  |  69.00  |  61.00  |  47.00  |  57.00  |  0.00  |  
 Sample index : 44  |  78.00  |  73.00  |  60.00  |  47.00  |  55.00  |  0.00  |  
